| table_name                  | column_name                  | data_type                   | is_nullable | column_default                                                |
| bildirim_temizleme_loglari  | operation                    | text                        | NO          | 'cleanup_old_notifications'::text                             |
| bildirim_temizleme_loglari  | deleted_count                | integer                     | NO          | 0                                                             |
| bildirim_temizleme_loglari  | execution_time_ms            | integer                     | NO          | null                                                          |
| bildirim_temizleme_loglari  | status                       | text                        | NO          | null                                                          |
| bildirim_temizleme_loglari  | error_message                | text                        | YES         | null                                                          |
| bildirim_temizleme_loglari  | metadata                     | jsonb                       | YES         | '{}'::jsonb                                                   |
| bildirimler                 | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| bildirimler                 | created_at                   | timestamp with time zone    | NO          | now()                                                         |
| bildirimler                 | updated_at                   | timestamp with time zone    | NO          | now()                                                         |
| bildirimler                 | kullanici_id                 | uuid                        | NO          | null                                                          |
| bildirimler                 | baslik                       | text                        | NO          | null                                                          |
| bildirimler                 | icerik                       | text                        | NO          | null                                                          |
| bildirimler                 | tip                          | text                        | NO          | null                                                          |
| bildirimler                 | oncelik                      | text                        | NO          | 'orta'::text                                                  |
| bildirimler                 | okundu                       | boolean                     | NO          | false                                                         |
| bildirimler                 | okunma_tarihi                | timestamp with time zone    | YES         | null                                                          |
| bildirimler                 | kaynak_tip                   | text                        | YES         | null                                                          |
| bildirimler                 | kaynak_id                    | text                        | YES         | null                                                          |
| bildirimler                 | kaynak_url                   | text                        | YES         | null                                                          |
| bildirimler                 | metadata                     | jsonb                       | YES         | '{}'::jsonb                                                   |
| birim_turleri               | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| birim_turleri               | birim_adi                    | text                        | NO          | null                                                          |
| birim_turleri               | aciklama                     | text                        | YES         | null                                                          |
| birim_turleri               | aktif                        | boolean                     | NO          | true                                                          |
| birim_turleri               | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| birim_turleri               | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| bolgeler                    | id                           | uuid                        | NO          | uuid_generate_v4()                                            |
| bolgeler                    | bolge_adi                    | text                        | NO          | null                                                          |
| bolgeler                    | aciklama                     | text                        | YES         | null                                                          |
| bolgeler                    | olusturma_tarihi             | timestamp with time zone    | NO          | timezone('UTC'::text, now())                                  |
| bolgeler                    | guncelleme_tarihi            | timestamp with time zone    | NO          | timezone('UTC'::text, now())                                  |
| bolgeler                    | aktif                        | boolean                     | NO          | true                                                          |
| cargo_package_products      | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cargo_package_products      | package_id                   | uuid                        | NO          | null                                                          |
| cargo_package_products      | product_name                 | text                        | NO          | null                                                          |
| cargo_package_products      | product_image                | text                        | YES         | '/placeholder.svg'::text                                      |
| cargo_package_products      | quantity                     | integer                     | NO          | 1                                                             |
| cargo_package_products      | created_at                   | timestamp with time zone    | YES         | now()                                                         |
| cargo_packages              | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| cargo_packages              | tracking_number              | text                        | NO          | null                                                          |
| cargo_packages              | recipient                    | text                        | NO          | 'Alıcı Bilgisi Girilecek'::text                               |
| cargo_packages              | phone                        | text                        | YES         | ''::text                                                      |
| cargo_packages              | cargo_company                | text                        | NO          | 'Kargo Şirketi Girilecek'::text                               |
